Topic,Count,Name,Representation,Representative_Docs
9,18,9_workers_crore_migrant_migrant workers,"['workers', 'crore', 'migrant', 'migrant workers', 'day', 'free', 'wage', 'yojana', 'ration', 'crore citizens']","['100 days of guaranteed work will be ensured to all job card holders and all workers will receive an increased minimum wage of ₹400 per day, nationally. TMC will ensure a dignified livelihood for the crores of labourers who rely on MGNREGA with guaranteed 100 days of work and enhanced daily wages. To ensure workers’ wages are scaled to meet their contemporary economic needs, daily wage under its remit will be increased to ₹400 per day, coordinating with states A Job-Based Incentive scheme will be introduced. TMC will take steps to create “jobs with growth” in India. We will stimulate job creation by providing financial incentives to corporates for additional hiring in sectors with high employment potential, particularly emphasising manufacturing and labour-intensive industries. This initiative will increase the number of jobs and enhance the quality of these jobs, ensuring sustainable economic growth through a more engaged and skilled workforce. The Production Linked Incentives (PLI) scheme will be enhanced. TMC will boost industrial job creation by bringing more sectors into PLI.', 'Remuneration of the Mid-day meal workers cum cooks will be increased from ₹1,000 to ₹1,500 with an additional ₹500 per month (additional ₹6,000 yearly) provided by the state Government. The successful MAA Canteens programme will continue to be expanded across Bengal. TMC will continue to establish more MAA Canteens across the state to provide nutritious meals to those in need, ensuring no one goes hungry and guaranteeing access to good quality meals for all. Free ration will be delivered to the doorstep of every ration card holder. TMC will continue to enhance food security for those who depend on the Government for subsistence. We will ensure that all eligible ration card holders can receive their monthly 5 KG grain quota at their doorstep. By amending the National Food Security Act, we will reform the Targeted Public Distribution System and ensure the necessary infrastructure all across the country to enable this exercise. Ration dealers without a delivery vehicle will be provided a subsidy of up to ₹1 Lakh to purchase a vehicle. Robust mechanisms to check pilferage and prevent leakages in delivery will also be developed.', 'Sufficient funds will be allocated to PDS, ICDS and the Mid-day Meal Scheme to fulfil the mandate of the National Food Security Act, 2013. 4. We will increase the wage under MGNREGA to 400 per day. MGNREGA funds and workers may also be deployed to build public assets such as classrooms, libraries and primary health centres. 11. We will collaborate with the state governments to open Indira Canteens that will offer subsidised meals as has been done in Karnataka and Rajasthan. 12. Appoint a second ASHA worker in all villages with a population exceeding 2,500 persons. 5. We will launch an urban employment programme guaranteeing work for the urban poor in reconstruction and renewal of urban infrastructure. 13. Double the number of Anganwadi workers and create an additional 14 lakh jobs. 6. We will make a law to specify and protect the rights of gig workers and unorganised workers and enhance their social security. 14. The Congress guarantees a national minimum 7. We will propose laws to regulate the employment of domestic help and migrant workers, and ensure their basic legal rights.']"
10,15,10_sports_youth_training_talent,"['sports', 'youth', 'training', 'talent', 'level', 'athletes', 'nurture', 'india', 'international', 'sporting']","['is Facilitating Hosting Olympics We will facilitate IOA to bid for hosting the Olympic Games in 2036, and develop sports infrastructure like stadiums and state-of-the-art training centres to host major international sporting events. Providing Comprehensive Plan for Retired Sportspersons We will launch a new programme for sportspersons, providing them with benefits like educational opportunities, employment opportunities and promotion opportunities. We will include more traditional sports under the Khelo India Scheme. We will incentivize sports goods manufacturing in partnership with the sports ecosystem in Bharat to take forward the vision of Aatmanirbhar Bharat. We will continue to expand the Khelo India network and other initiatives to nurture future athletes who can represent our nation with pride. We will promote startups in sports and help create a technology ecosystem in sports. mp: Our vision for regional development is to ensure every part of India progresses equally, fostering growth and innovation.', 'Coaching Class Regulation: Regulate coaching classes to maintain quality education. Curriculum Reforms: Ensure curricula promote scientific temper that are aligned with India’s constitutional values and ethos. Sports With a vision to nurture India’s sporting prowess and promote a culture of health and wellness, we advocate for a comprehensive approach to sports development. Our agenda includes the creation of world-class sports infrastructure to facilitate training and competition at the highest level. We are committed to identifying and nurturing talent at the grassroots level, ensuring access to coaching and equipment in schools and communities. World-Class Sports Infrastructure: Demand development of stadiums and sports complexes with top-tier facilities for training and competition. Grassroots Sports Development: Identify and nurture young talent by providing access to coaching and equipment at school and community levels. Talent Scholarships and Grants: Offer scholarships, training grants and specialized coaching to help promising athletes achieve their potential.', 'Congress will enact a separate legislation for the registration of sports federations/bodies/associations which will ensure full compliance with the Olympic Charter, allow for autonomy and full accountability, and provide recourse for members and sportspersons against discrimination, bias, sexual harassment, abuse, wrongful termination, etc. 6. In order to encourage talented youth to pursue sports as a profession without fear of their future, Congress will introduce a “Sporting Heroes Job Guarantee” programme to assure every sportsperson who has represented India at the international level or the national level a good quality job after the end of the sportsperson’s sporting career. 3. Congress will provide sports scholarships of 10,000 per month to talented and budding sports persons below the age of 21. 4. Congress will ensure that there is at least one community sports centre in every block and municipal town and at least one multi-sport coaching centre in every district. 7. We will allocate sufficient funds to promote sports among girls and women, persons with disabilities, and disadvantaged groups such as ST. 5. We will establish a National Sports Science Institute to promote research and development in sports sciences and training.']"
11,15,11_health_healthcare_care_medical,"['health', 'healthcare', 'care', 'medical', 'medicines', 'health insurance', 'health care', 'insurance', 'scheme', 'hospitals']","[""Public expenditure on health to be raised to 5 per cent of the GDP, with at least 2 per cent coming from the Centre. Out-of-pocket expenditure on health to be brought to below 25 per cent of health spending; expand and strengthen the public healthcare system to ensure free availability of quality health care at all levels, including entire range of medicines, diagnostics and vaccines, and accountability to local communities. Scrap the government-funded PMJAY/Ayushman Bharat health insurance scheme and replace it with a Public-centred Universal Health Care system. Reverse the privatisation of health care services and outsourcing of services through PPPs. Extend and reform the ESI scheme to effectively protect workers' health in both organized and unorganized sector, and also covering occupational health. Effectively regulate the private health care sector, especially corporate hospitals which should be brought under the Clinical Establishment Act."", 'HEALTH Congress was the first political party to acknowledge that health of the people and healthcare are the responsibility of the government. Congress introduced the first healthcare scheme in India and firmly believes that all citizens have the Right to Health. 1. We promise that healthcare will be universal and free in public health centres such as hospitals, clinics, primary health centres, mobile healthcare units, dispensaries and health camps. Free healthcare will include examination, diagnostics, treatment, surgery, medicines, rehabilitation and palliative care. 2. The Rajasthan Model of cashless insurance up to 25 lakhs will be adopted for universal healthcare. 3. Primary Health Centres (PHC) will be upgraded according to Indian Public Health Standards norms, and diagnostics will be added in each PHC. 4. We will encourage the introduction of health insurance schemes in the private sector and public sector.', 'We are determined to expand our healthcare workforce, make medications affordable and advocate for preventive health measures. Increased Health Budget: Demand a health budget increase to 4% by 2028-29. Universal Free Healthcare: Demand comprehensive and free healthcare services in all public health facilities. Rural Healthcare Investment: Development of rural healthcare infrastructure and provide incentives for healthcare workers in underserved areas. District Medical Facilities: Medical college and hospital in each district. Healthcare Workforce Expansion: Call for the recruitment of sufficient healthcare professionals to ensure quality care. Affordable Medication: Promote the use of generic drugs, regulate prices and reduce tariffs on medical essentials. Preventive Healthcare: Champion preventive health measures, such as immunizations and disease screening.']"
12,15,12_senior_senior citizens_citizens_pension,"['senior', 'senior citizens', 'citizens', 'pension', 'social', 'age', 'armed forces', 'security', 'forces', 'armed']","['SENIOR CITIZENS, PERSONS WITH DISABILITIES, AND LGBTQIA+ 1. The central government’s contribution to pensions for senior citizens, widows and persons with disabilities under the National Social Assistance Programme remains a pitiful 200 - 500 per month. Congress will raise this amount to 1,000 per month. 6. We will recognise the Braille script and Sign Language as languages. 7. We will establish a National Centre of Research and Excellence for Special Education to ensure that quality education is imparted to children with special needs and children with disabilities. 2. We will take measures to ensure easy access to legal services for senior citizens especially in cases of neglect, abuse, abandonment, eviction and financial fraud. 8. As was done in Chhattisgarh, Congress will provide representation for persons with disabilities in local government bodies. 3. Congress will review the Maintenance and Welfare of Parents and Senior Citizens Act, 2007, remove the deficiencies and enforce the Act.', '7 Ayushman for Senior Citizens We will expand the Ayushman Bharat Yojana to cover Senior Citizens and provide them access to free and quality healthcare. (KS Facilitating Knowledge Sharing by Senior Citizens We will introduce a National Senior Citizens portal to honour the wisdom and experience of our elders by providing them with a platform for sharing their stories, insights and knowledge. Delivering Government Services at Doorstep We will ensure seamless access to social security benefits and other essential government services to senior citizens by leveraging the extensive reach and reliability of the postal and digital network. BS Digital Empowerment for Senior Citizens We will provide senior citizens with comprehensive training in using UPI and other online payment methods, while also educating them on how to recognize and avoid digital scams. 7 Organising Ayush Camps We will organise regular Ayush camps to provide holistic healthcare solutions rooted in Ayurveda, Yoga and other traditional practices to promote active living and vitality of elders. Ey Ensuring Senior Citizen-Friendly Public Infrastructure We will implement age-friendly public infrastructure and transportation systems to facilitate mobility and independence for senior citizens.', '2. SENIOR CITIZENS Amend Senior Citizens Welfare Act: Fast-track amendments to the 2007 Maintenance and Welfare of Parents and Senior Citizens Act. Establish National Commission: Create a National Commission for Senior Citizens. Increase Pensions: Increase pension amounts for seniors, widows and persons with disabilities. Improve Senior Healthcare: Ensure access to affordable quality healthcare, geriatric services and preventative check-ups for seniors. Expand Immunization: Integrate specialized immunization programs for senior citizens into the National Immunization Program. Senior Care Facilities: Demand the establishment of more senior citizen homes and daycare centers. National Dementia Policy: Formulate a policy including specialized hospital departments, mental health services and dedicated geriatric care. Age-Friendly Infrastructure: Make cities and communities more accessible and inclusive for the elderly. Social Engagement: Foster increased social participation and engagement for seniors. Legal Protection: Safeguard seniors’ legal rights, streamline legal aid access and combat abuse, neglect and financial fraud.']"
13,13,13_bharat_global_manufacturing_space,"['bharat', 'global', 'manufacturing', 'space', 'research', 'south', 'expand', 'global south', 'bharat global', 'leading']","['TECHNOLOGY AND INNOVATIONS Y Our vision is for Bharat to be a champion in technological innovations by becoming the centre of cutting-edge research. R28 Positioning Bharat as Leading Space Power st We will launch Gaganyaan, Bharat’s first human spaceflight mission, and land an astronaut on the Moon, a sign of Bharat’s progress and prosperity in Amrit Kaal. st We will establish Bharatiya Antariksha Station (BAS) and we will also operationalise a second launch complex for the country. x We aim to significantly increase the value of the Space Economy, positioning Bharat as a leading space power and extending support to Global South countries in utilising space and space technology services. s& We will set up a Global Space Academy under the aegis of ISRO and IIST with fellowship programmes for both national and international students. We will also establish a spaceforum that positions Bharat as a leading space power and assist Global South countries in using Space and space-tech services. ane Operationalising Anusandhan National Research Foundation We will operationalise the Anusandhan National Research Foundation to build robust Research and Development infrastructure across the country.', 'ce Promoting Ship Building We will ensure availability of dedicated research, designing and testing facilities across the country to promote shipbuilding under the Make in India initiative. Strengthening Bharat’s Position as Pharmacy of the World st We will strengthen Bharat’s position as the ‘Pharmacy of the World’ by boosting the manufacturing and research capacities of the pharmaceutical sector, especially APIs. s We will expand Research Linked Incentive schemes, encouraging companies to invest in research for new drugs, chemical entities and new biological entities. Making Bharat a Global Electronics Manufacturing Hub by 2030 st Inthe last ten years we have established a USD 100+ billion electronics manufacturing industry. We have already become the second largest mobile phone manufacturer in the world. Our policies have resulted in generating huge employment opportunities in this industry. s We will consolidate our efforts and expand electronics manufacturing three times to become a major player in the global value chain.', 'Promoting Defence Manufacturing We will vastly expand domestic defence manufacturing and exports of Made in Bharat defence equipment. This effort will be facilitated by accelerating indigenisation in major Air and Land Equipment Platforms. & Positioning Bharat as a Global Railway Manufacturing Hub We will promote manufacturing, research, and development in the railway sector to make Bharat a leading global railway manufacturing hub. =F Making Bharat as Global Aviation Manufacturing and MRO Hub w& Wewill bring a commercial aircraft manufacturing ecosystem to Bharat. For this we will design a Policy for Aerospace Manufacturing in the country and try to develop our own passenger aircraft. st We will strengthen the civil aviation ecosystem by encouraging Maintenance, Repairs and Overhaul (MRO) activities as well as Aircraft Financing and Leasing Activities institutions through comprehensive government support programs under the Make in India initiative.']"
14,11,14_cpi_stands_act_cpi stands,"['cpi', 'stands', 'act', 'cpi stands', 'states', 'policies', 'constitutional', 'alternative', 'tax', 'bjp']","['The CPI(M) places its manifesto before the people of India with a clear understanding that it is the bounden duty of every patriot to first and foremost ensure the defeat of the BJP and its allies. The CPI(M) pledges to do everything in its capacity to strengthen this collective duty and to help the establishment of a secular government at the centre. For this, and to ensure pro-people policies, a stronger presence of the CPI(M) in Parliament is essential. In Part I, the manifesto focuses on the main current issues. In Part II, the manifesto reflects the CPI(M)‟s approach for alternative policies which affect various sections of our people. Defend Secularism Democracy and Secularism are inextricably intertwined. Democracy itself gets undermined if secular principles are eliminated as is being done under BJP rule. The Constitution guarantees the right of every citizen to their religious faith including being an atheist.', 'The CPI(M) stands for an increase to at least 6 per cent of GDP in budgetary allocations for education; It stands for a reversal of the policies of commercialization, communalization and centralization Strengthen Federalism, Defend Rights of States The Modi government‟s disregard of the constitutional principles of federalism is reflected in its dangerous policies of coercive centralization at the expense of the rights of the states. This period is marked by a relentless all-round attack on federalism in all spheres – political, fiscal, educational, social and cultural. Opposition ruled states are specifically targeted. Governors and Lt Governors regularly transgress all Constitutional proprieties. In non-BJP ruled states, Governors are seen to act as centres to sabotage and disturb the working of state governments. Several non-BJP state governments have been forced to appeal to the Supreme Court on these issues.', 'State governments are restricted from borrowings and the stipulations of the FRBM Act restrict the states‟ capacities to raise resources. The CPI(M) stands for the restoration of the constitutional rights of the states which have been severely diluted by the Modi government. The CPI(M) stands for devolution of 50 per cent of the total collection of Central taxes to the states, including share of surcharges and cesses levied by Centre. It stands for a Governor to be chosen out of a panel of three eminent persons proposed by the Chief Minister; for an end to policies which promote centralization at the expense of the states. Social Justice Moving away from the Constitutional guarantee of equality to all for realizing the objective of social justice, the socially oppressed sections are subjected to greater injustices and discrimination.']"
15,10,15_farmers_agricultural_farmer_produce,"['farmers', 'agricultural', 'farmer', 'produce', 'production', 'insurance', 'farm', 'crop', 'price', 'ensure']","[""Swaminathan committee will be adopted, ensuring that agricultural products' MSP is set at total production cost + 50%. 7. The production subsidy limit for paddy procured from a farmer for up to 2 hectares will be increased from the current limit to 10 tons. 8. Financial assistance under the PM-KISAN scheme will be increased to Rs. 12,000. 9. Actions will be taken to formulate climate-resilient agricultural policies to protect farmers, ensure food security, and mitigate the impact of seasonal changes. 10. Cold storage facilities will be established at the district level to protect the agricultural produce cultivated by farmers. 11. Measures will be taken to ensure the availability of quality chemical and organic fertilizers at fair prices. 12. Modern agricultural technologies and practices will be implemented. 13. Necessary agricultural machinery will be made available to farmers across the country either through ownership or government departments. 14. Efforts to construct the Mekedatu Dam will be stopped: Measures will be taken by the DMK through firm legal actions to protect the welfare of farmers in the delta region and to ensure water supply to various parts of Tamil Nadu, countering the Supreme Court's decision against the construction of the Mekedatu Dam."", 'Implement a universal, comprehensive crop insurance scheme for all farmers allowing for state-specific flexibilities in design; ensure that insurance covers yield risks and price risks; establish weather monitoring stations in every village; expand the role of public insurance companies in crop insurance coverage; establish a price stabilization fund for protecting farmers from price risks. Ensure legal guarantee for an adequate monthly pension for small, marginal, and middle farmers and agricultural workers. Promote and strengthen cooperatives for agricultural production, credit supply, dairy farming, water use, input purchase, crop storage, processing, value addition and marketing; strictly ensure that the cooperative system outside the multi-state cooperatives function under the state governments. Promote the establishment of farmer producer companies as well as women‟s self-help groups, joint liability groups and other women‟s collectives in agricultural production; ensure that these collective associations are immune to private corporate appropriation.', 'We will appoint a Permanent Commission on Agricultural Finance that will report periodically on the extent of agricultural credit and the need for loan forbearance. 2. The Commission for Agricultural Costs and Prices (CACP) will be made a statutory body. 5. Crop insurance will be made farm and farmer specific. Premium will be charged from the farmer according to the sum insured and all claims will be settled within 30 days. 3. MSP payable to the farmer-seller at the procurement centres and APMCs will be directly credited digitally to the bank account of the farmer. 6. In consultation with farmers’ organizations, we will make available to farmers three avenues for sale of agricultural produce: (a). Regulated Market under the prevailing APMC Act. (b). E-market that will be operated by an autonomous body with representation of farmers’ organizations, Farmer-Producer Organizations (FPOs) and individual progressive farmers. (c).']"
16,9,16_workers_labour_social security_contract,"['workers', 'labour', 'social security', 'contract', 'social', 'benefits', 'labour laws', 'security', 'pension', 'एग']","['Discouraging contractualisation and casualisation of work; stringent implementation of The Contract Labour (Regulation And Abolition) Act, 1970; equal wages and benefits for contract workers as regular workers for doing similar job; stop outsourcing and contractorisation of jobs of permanent and perennial nature; revoking „Fixed Term Employment‟; protecting the right of contract workers and workers in the unorganized sector to exercise their fundamental right to unionize and strike. Ensuring equal remuneration for women workers in all areas of work including home-based work; social security for working women in the unorganized sector, including maternity benefits, pension and health insurance; implementing paid maternity leave of 26 weeks, maternity benefit and crèche facilities and elderly care for all women workers. Strict implementation of the Prevention of Sexual Harassment of Women at Workplace Act; ensuring safety measures for women working in night-shifts.', 'Setting up the 8th Central Pay Commission for central government employees and payment of unpaid Dearness Allowance/Dearness Relief dues from January 2020 to June 2021. Recognising all workers employed in different central and state government schemes (anganwadi workers, ASHA, MDM workers, etc.) as workers/employees and providing them with all attendant benefits including statutory minimum wages, social security benefits like pension, gratuity etc., and ensuring their trade union rights. Scrapping all anti-worker and pro-employer amendments to labour laws through Four Labour Codes. Strengthening the implementation of all labour laws including the law on interstate migrant workers; payment of retrenchment/closure compensation to affected workers and implementation of ID Act provisions; strengthening labour departments and enforcement agencies; opening of Industrial Tribunals and Labour Courts in all districts and industrial centres.', 'Improving the legislation on Unorganized Sector Workers and implementing the recommendations of the Standing Committee on Labour; special social security measures for migrant workers and plantation workers; constituting national fund for unorganised workers; legislation for universal coverage of all unorganised workers with social security benefits including old age pension, health, maternity and child care benefits, accident and life insurance. Enacting legislation to concretely define the working conditions of Gig/Platform-based/App-driven workers and those „working from home‟; Ensuring coverage of IT & ITES workers under all labour laws debarring any provision for exemption through appropriate enactment. Scrapping of „New Pension Scheme‟ and the PFRDA Act and putting in place a benefit-defined pension scheme with adequate funding by employers and government for all workers/employees ensuring at least a pension of 50 per cent of last drawn pay with indexation. Withdrawing the Motor Vehicle (Amendment) Act, 2019.']"
17,6,17_production_msmes_trade_new,"['production', 'msmes', 'trade', 'new', 'increase', 'support', 'number', 'clusters', 'food', 'like']","['The new government will undertake all necessary efforts to ensure the Indian economy and the Tamil Nadu economy grow at a continuous rate of 9% to 10%. 10. Measures will be taken to simplify the process for MSMEs to obtain licenses (ESI, EPF, GST, Running License, Inspector of Factories, Trade, Pollution Control, etc.) easily. 11. A single-window clearance facility will be introduced to simplify the process of starting a business at the national level, where all permissions can be obtained in one place. 12. The Union government will provide the necessary funding for the integrated development of cities that support the various new industrial investments coming into Tamil Nadu. 13. New laws will be introduced to curb the price rise of construction materials. 14. Essential commodities like petrol, diesel kerosene, and cooking gas will be brought back under the ""Administered Pricing Mechanism"". Trade Welfare 1. Taxpayers will be given the opportunity to correct mistakes made while filling out GST forms. The practice of imposing additional taxes and penalties for these mistakes will be completely stopped. 2. Laws related to commerce will be drafted in consultation with representatives of trade organizations. 3.', '57 Lakh new MSMEs have been added since 2011, securing ₹6 Lakh Crore in bank credit from 2011 to 2023 Bengal’s Index of Industrial Production (manufacturing) growth stood at 7.8%, exceeding the national growth rate of 5% in 2022-23 The number of factories in Bengal has increased 17% from 8,232 in 2010 to 9,650 in 2021 Bengal’s IT sector has been transformed with the operationalise of 26 IT Parks throughout the state Wages for tea garden workers have increased by 3 times, from ₹67 per day in 2011 to ₹250 per day currently. Additionally, homestead pattas have been granted to around 23,000 tea garden workers Bengal’s handloom industry employs the 2nd highest number of workers in India at 5.4 Lakh (17.3% of the total) Guaranteed employment will be provided to Bengal’s rural workforce. TMC will not allow the Union Government to take away our people’s right to work by withholding MGNREGA funds. Through the Karmasree Scheme, we will provide at least 50 days of work to each job card holder. In line with this commitment, we have already released wages for over 50 Lakh workers who have not been paid due to the Union Government’s denial of funding.', 'oie Increase in MSP We have ensured unprecedented increase in MSP for major crops, and we will continue to increase MSP from time to time. ay Atmanirbhar in Pulses and Edible Oil We will support Annadatas to make Bharat Atmanirbhar in the production of pulses (like tur, urad, masoor, moong and chana) and edible oil production (like mustard, soybean, til and groundnut). New Clusters for Vegetable Production and Storage We will support Annadatas with requisite farming inputs to increase the production of nutritious vegetables by establishing new clusters for the production of essentials like onion, tomato, potato etc. We will also set up storage and logistics facilities at these clusters. iy ¥%, Positioning Bharat as the Nutri-Hub of the World i] 0 Building on the success of the International Year of Millets, we will promote Shree Anna (millets) for food security, nutrition and environmental sustainability and make Bharat a Global Millet Hub. Millet as Super Food We have ensured that Millet gets the global recognition and will now promote it as the global superfood. We will also focus on expanding its cultivation among small farmers, promote research and international marketing to underscore its health and sustainability advantages.']"
18,4,18_promised_bengal_farmers_exports,"['promised', 'bengal', 'farmers', 'exports', 'export', 'poverty', 'protest', 'approximately lakh', 'access', 'lakh crore']","['» The basket of agricultural exports will be diversified to include value-added products and target a wider range of international markets » A stable commodities trading policy will be established — the bans on export of wheat, rice, and sugar, which India used to hold a leadership position in the world export market, will be reviewed » Investment in cold-chain infrastructure and logistics will be enhanced, with greater focus on preserving the value of fruits and vegetables » Investment in agricultural research and development will be doubled from 0.5% of the existing agricultural GDP to at least 1% Cases registered against farmers during farmers’ protest will be immediately withdrawn. TMC will protect our cultivators from unnecessary legal censure. In our recognition of the validity of their courageous struggle for their rights, we will immediately withdraw all cases registered against farmers during the farmers’ protest, restoring reconciliatory relations with the community. Fishermen will be provided with greater access to institutional credit. TMC will bridge the credit access gap for the fishermen community.', ""He stated in Ramanathapuram that a strong Prime Minister like him would prevent attacks on Tamil Nadu fishermen by Sri Lanka. In reality, such attacks have only increased. 5. During his 2014 visit to Erode, PM Modi promised to brighten the lives of turmeric farmers; it did not happen. 6. In Tirupur, he mentioned setting up a common effluent treatment plant for dyeing and bleaching industries to aid the textile industry; it was not established. 7. In Salem, he promised to modernize the steel plant; it has not been modernized. 8. He promised to enhance the lives of tapioca producers; it was not fulfilled. 9. He assured special facilities for marketing farmers' products; it was not done. 10.During his visit to Krishnagiri, Modi said the region was underdeveloped and promised progress; But, no scheme was initiated for Krishnagiri. 11. In Kanyakumari, Modi promised to transform it into a world-renowned tourist destination; But, no action was taken towards this. 12. He claimed to retrieve black money within India amounting to approximately ₹5 lakh crores by demonetizing ₹500 and ₹1000 notes. Other than leading to long queues at banks and deaths, there was no benefit at all."", 'In the last decade, Bengal has more than doubled its exports, from ₹55,589 Crore in 2010-11 to ₹1.1 Lakh Crore in 2021-22. Through the operationalization of the West Bengal Export Promotion Policy and the West Bengal Logistics Sector Development Policy, we will ensure that we effectively double the state’s share in India’s total annual exports by 2030. The poverty level in Bengal will be reduced to less than 1%. TMC will work tirelessly to eliminate poverty in Bengal. We will bring down the poverty headcount ratio from 8.6% to less than 1% by effectively implementing welfare schemes and expanding social security coverage in the next 10 years through: » By fast tracking and extending welfare programmes, wherein everyone eligible for Government assistance can access it without discrimination or exclusion through programmes like Duare Sarkar » Basic amenities; All households will be provided amenities such as a house, electricity, LPG, tap water, etc. Ease of Doing Business (EODB) in Bengal will be continuously improved.']"
